,Series_Title,Released_Year,Certificate,Overview,Director,Star1
389,The Iron Giant,1999,PG,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,Eli Marienthal
390,Knockin' on Heaven's Door,1997,,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",Thomas Jahn,Til Schweiger
391,Sling Blade,1996,R,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Billy Bob Thornton,Billy Bob Thornton
392,Secrets & Lies,1996,U,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",Mike Leigh,Timothy Spall
393,Twelve Monkeys,1995,A,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam,Bruce Willis
394,Kôkaku Kidôtai,1995,UA,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,Mamoru Oshii,Atsuko Tanaka
395,The Nightmare Before Christmas,1993,U,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,Danny Elfman
396,Groundhog Day,1993,U,A weatherman finds himself inexplicably living the same day over and over again.,Harold Ramis,Bill Murray
397,Bound by Honor,1993,R,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",Taylor Hackford,Damian Chapa
398,Scent of a Woman,1992,UA,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Martin Brest,Al Pacino
399,Aladdin,1992,U,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Ron Clements,John Musker
400,JFK,1991,UA,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,Oliver Stone,Kevin Costner
401,Beauty and the Beast,1991,G,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Gary Trousdale,Kirk Wise
402,Dances with Wolves,1990,U,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",Kevin Costner,Kevin Costner
403,Do the Right Thing,1989,R,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",Spike Lee,Danny Aiello
404,Rain Man,1988,U,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,Barry Levinson,Dustin Hoffman
405,Akira,1988,UA,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,Katsuhiro Ôtomo,Mitsuo Iwata
406,The Princess Bride,1987,U,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner,Cary Elwes
407,Der Himmel über Berlin,1987,U,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,Wim Wenders,Bruno Ganz
408,Au revoir les enfants,1987,U,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.",Louis Malle,Gaspard Manesse
409,Tenkû no shiro Rapyuta,1986,U,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Hayao Miyazaki,Mayumi Tanaka
410,The Terminator,1984,UA,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",James Cameron,Arnold Schwarzenegger
411,Gandhi,1982,U,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Richard Attenborough,Ben Kingsley
412,Kagemusha,1980,U,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,Akira Kurosawa,Tatsuya Nakadai
413,Being There,1979,PG,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.",Hal Ashby,Peter Sellers
414,Annie Hall,1977,A,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,Woody Allen,Woody Allen
415,Jaws,1975,A,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg,Roy Scheider
416,Dog Day Afternoon,1975,U,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",Sidney Lumet,Al Pacino
417,Young Frankenstein,1974,A,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Mel Brooks,Gene Wilder
418,Papillon,1973,R,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",Franklin J. Schaffner,Steve McQueen
419,The Exorcist,1973,A,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",William Friedkin,Ellen Burstyn
420,Sleuth,1972,PG,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",Joseph L. Mankiewicz,Laurence Olivier
421,The Last Picture Show,1971,R,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",Peter Bogdanovich,Timothy Bottoms
422,Fiddler on the Roof,1971,G,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.",Norman Jewison,Topol
423,Il conformista,1970,UA,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Bernardo Bertolucci,Jean-Louis Trintignant
424,Butch Cassidy and the Sundance Kid,1969,PG,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",George Roy Hill,Paul Newman
425,Rosemary's Baby,1968,A,A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.,Roman Polanski,Mia Farrow
426,Planet of the Apes,1968,U,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",Franklin J. Schaffner,Charlton Heston
427,The Graduate,1967,A,A disillusioned college graduate finds himself torn between his older lover and her daughter.,Mike Nichols,Dustin Hoffman
428,Who's Afraid of Virginia Woolf?,1966,A,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",Mike Nichols,Elizabeth Taylor
429,The Sound of Music,1965,U,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,Robert Wise,Julie Andrews
430,Doctor Zhivago,1965,A,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",David Lean,Omar Sharif
431,Per un pugno di dollari,1964,A,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",Sergio Leone,Clint Eastwood
432,8½,1963,,A harried movie director retreats into his memories and fantasies.,Federico Fellini,Marcello Mastroianni
433,Vivre sa vie: Film en douze tableaux,1962,,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,Jean-Luc Godard,Anna Karina
434,The Hustler,1961,A,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,Robert Rossen,Paul Newman
435,La dolce vita,1960,A,A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,Federico Fellini,Marcello Mastroianni
436,Rio Bravo,1959,Passed,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",Howard Hawks,John Wayne
437,Anatomy of a Murder,1959,,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",Otto Preminger,James Stewart
438,Touch of Evil,1958,PG-13,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",Orson Welles,Charlton Heston
439,Cat on a Hot Tin Roof,1958,A,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,Richard Brooks,Elizabeth Taylor
440,Sweet Smell of Success,1957,Approved,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,Alexander Mackendrick,Burt Lancaster
441,The Killing,1956,Approved,Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.,Stanley Kubrick,Sterling Hayden
442,The Night of the Hunter,1955,,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",Charles Laughton,Robert Mitchum
443,La Strada,1954,,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Federico Fellini,Anthony Quinn
